qid,Len,Den,Lde,Dde,P31,P1476,P407
,The Reflective Operator,"A user type who regularly questions and observes their own AI usage. The Reflective Operator asks not only ""What does the AI deliver?"" but also ""What does the AI do to me?"" Practical implementation of",Reflective Operator,"Ein Nutzertyp, der seine eigene KI-Nutzung regelmäßig hinterfragt und beobachtet. Der Reflective Operator fragt nicht nur ""Was liefert die KI?"", sondern auch ""Was macht die KI mit mir?"". Praktische Um",Q66836282,The Reflective Operator,Q1860
,Synthetischer Polymath,"A user who, through AI assistance, is able to work at a high level across multiple disciplines simultaneously, despite not having formally studied all of them. The AI serves as a ""just-in-time knowled",Synthetischer Polymath,"In der Mensch-KI-Interaktion beschreibt dieses Konzept ein Muster, das erfahrene Nutzer aus der täglichen Praxis kennen: Die Art, wie wiederholter Kontakt mit KI-Systemen sowohl die Wahrnehmung als au",Q66836282,Synthetischer Polymath,Q1860
,Augmented Diplomat,"A user who deliberately employs AI to improve interpersonal communication — such as drafting difficult messages, bridging language barriers, or preparing negotiations. The AI functions as an ""invisibl",Augmented Diplomat,"Ein Nutzer, der KI gezielt einsetzt, um zwischenmenschliche Kommunikation zu verbessern — etwa beim Formulieren schwieriger Nachrichten, beim Überbrücken von Sprachbarrieren oder beim Vorbereiten von ",Q66836282,Augmented Diplomat,Q1860
,The Extended Mind Map,"The deliberately constructed external knowledge and thinking architecture of a user, encompassing AI systems, saved prompts, knowledge bases, and personal workflows. The term draws on the ""Extended Mi",Extended Mind Map,"Die bewusst aufgebaute, externe Wissens- und Denkarchitektur eines Nutzers, die KI-Systeme, gespeicherte Anstoßs, Wissensdatenbanken und persönliche Workflows umfasst. Der Begriff lehnt sich an die ""E",Q66836282,The Extended Mind Map,Q1860
,The Outer Mind,"The portion of one's thinking and working process that is permanently outsourced to external AI systems. While AUG-0002 (Mentale Externalisierungsstrategie) describes the conscious act of outsourcing,",Outer Mind,"Der Anteil des eigenen Denk- und Arbeitsprozesses, der dauerhaft in externe KI-Systeme ausgelagert ist. Während AUG-0002 (Das Mentale Externalisierungsstrategie) den bewussten Akt der Auslagerung besc",Q66836282,The Outer Mind,Q1860
,Poly-Categorical Mesh,"The ability of an AI-assisted user to simultaneously connect knowledge from different disciplines into a new, interdisciplinary result. This phenomenon becomes possible at this speed and breadth only ",Poly-Categorical Mesh,"Hinter Poly-Categorical Mesh steht eine Beobachtung, die zunehmend Beachtung findet: Die Art, wie Menschen auf KI-Systeme reagieren, lässt sich nicht aus der Funktionalität des Systems allein erklären",Q66836282,Poly-Categorical Mesh,Q1860
,The Concept Cloud,"The state in which a user, through AI interaction, has a large quantity of ideas, perspectives, and information fragments simultaneously present but not yet structured. The Concept Cloud is the raw st",Concept Cloud,"Der Zustand, in dem ein Nutzer durch KI-Interaktion eine große Menge an Ideen, Perspektiven und Informationsfragmenten gleichzeitig im Raum hat, ohne dass diese bereits strukturiert sind. Die Concept ",Q66836282,The Concept Cloud,Q1860
,Trinaug Protocol,"A working protocol in which the user systematically assigns the same task to three different AI systems and compares the results. ""Tri"" (three) + ""Aug"" (Augmanitai). Practical implementation of Axiom ",Trinaug Protocol,"Ein Arbeitsprotokoll, bei dem der Nutzer systematisch drei verschiedene KI-Systeme mit derselben Aufgabe beauftragt und die Ergebnisse vergleicht. ""Tri"" (drei) + ""Aug"" (Das Augmanitai). Praktische Ums",Q66836282,Trinaug Protocol,Q1860
,Semantic Ejection,"The moment a user consciously rejects an AI-generated suggestion because it does not semantically fit their own thinking style, value system, or project context — even though the suggestion may be tec",Semantic Ejection,"Der Moment, in dem ein Nutzer einen KI-generierten Vorschlag bewusst ablehnt, weil er semantisch nicht zum eigenen Denkstil, Wertesystem oder Projektkontext passt — obwohl der Vorschlag technisch korr",Q66836282,Semantic Ejection,Q1860
,Recursive Feedback Loop,"A self-reinforcing cycle in which the user takes an AI output as new input, develops it further, feeds it back to the AI, and thereby creates iterative deepening. In its productive form, this leads to",Recursive Rückmeldung Schleife,"Ein sich selbst verstärkender Kreislauf, bei dem der Nutzer einen KI-Output als neuen Input verwendet, diesen weiterentwickelt, erneut an die KI gibt und so eine iterative Vertiefung erzeugt. In produ",Q66836282,Recursive Feedback Loop,Q1860
,Initialization Cascade,"The specific sequence of initial inputs and contextual information with which a user opens a new AI session. Experienced users develop personal initialization patterns — particular instructions, role ",Initialization Kaskade,"Die spezifische Abfolge erster Eingaben und Kontextinformationen, mit der ein Nutzer eine neue KI-Sitzung eröffnet. Erfahrene Nutzer entwickeln persönliche Initialisierungsmuster — bestimmte Anweisung",Q66836282,Initialization Cascade,Q1860
,Vigilant Continuity,A user's ability to remain consistently attentive and critical throughout an entire AI session — even as the collaboration becomes increasingly fluid and comfortable. Describes the challenge that vigi,Vigilant Continuity,"Die Fähigkeit eines Nutzers, über eine gesamte KI-Sitzung hinweg konsistent aufmerksam und kritisch zu bleiben — auch wenn die Zusammenarbeit immer flüssiger und angenehmer wird. Beschreibt die Heraus",Q66836282,Vigilant Continuity,Q1860
,Vigilance Imperative,The foundational principle that every AI output requires conscious verification — regardless of how often the system has previously delivered correct results. Past reliability is no guarantee of curre,Vigilance Imperative,"Das Grundprinzip, dass jeder KI-Output einer bewussten Prüfung bedarf — unabhängig davon, wie oft das System zuvor korrekte Ergebnisse geliefert hat. Vergangene Zuverlässigkeit ist kein Garant für akt",Q66836282,Vigilance Imperative,Q1860
,Self-Built Effect,"A user's internal orientation — consisting of personal values, experience, intuition, and domain knowledge — that serves as a corrective against AI output. The Built-In Compass is what activates Axiom",Built-In Compass,"Die innere Orientierung eines Nutzers — bestehend aus persönlichen Werten, Erfahrung, Intuition und Fachwissen — die als Korrektiv gegen KI-Output dient. Der Built-In Compass ist das, was Axiom 5 (Off",Q66836282,Self-Built Effect,Q1860
,The Offload Lift,The subjective feeling of relief that arises when a user delegates a demanding task to the AI and immediately regains capacity. Describes the positive moment of unburdening — comparable to setting dow,Offload Lift,"Das subjektive Erleichterungsgefühl, das entsteht, wenn ein Nutzer eine aufwändige Aufgabe an die KI delegiert und dadurch unmittelbar Kapazität zurückgewinnt. Beschreibt den positiven Moment der Entl",Q66836282,The Offload Lift,Q1860
,The Smooth Shield,"The AI's ability to transform rough or unstructured user inputs into a polished, professional output. The user provides the raw thought, the AI provides the form. Related to the Translator Profile (Pr",Smooth Shield,"Die Fähigkeit der KI, raue oder unstrukturierte Eingaben des Nutzers in einen polierten, professionellen Output zu transformieren. Der Nutzer liefert den Rohgedanken, die KI liefert die Form. Steht in",Q66836282,The Smooth Shield,Q1860
,Modus Solitarius Digitalis,A working mode in which the user interacts exclusively with AI and has no contact with other humans for extended periods — the AI becomes the sole conversation partner. Describes an observable pattern,Modus Solitarius Digitalis,"Ein Arbeitsmodus, in dem der Nutzer ausschließlich mit KI interagiert und über längere Zeiträume keinen Kontakt zu anderen Menschen hat — die KI wird zum einzigen Gesprächspartner. Beschreibt ein beob",Q66836282,Modus Solitarius Digitalis,Q1860
,Capture Reflex,"The automated impulse to immediately save, screenshot, or bookmark every interesting AI output — even when it is not needed . Describes a behavioral pattern arising from the transience of AI sessions:",Capture Reflex,"Der automatisierte Impuls, jeden interessanten KI-Output sofort zu speichern, zu screenshotten oder zu bookmarken — auch wenn er im aktuellen Kontext nicht benötigt wird. Beschreibt ein Verhaltensmust",Q66836282,Capture Reflex,Q1860
,Evening Synchronization,"A working pattern in which the user, at the end of an AI-assisted workday, consciously reintegrates the insights gained into their own thinking system — through summarization, reflection, or rewriting",Evening Synchronisation,"Ein Arbeitsmuster, bei dem der Nutzer am Ende eines KI-gestützten Arbeitstages die gewonnenen Erkenntnisse bewusst in sein eigenes Denksystem zurückführt — durch Zusammenfassung, Reflexion oder Versch",Q66836282,Evening Synchronization,Q1860
,Contextual Gravity,"The observation that an AI session, as context accumulates, increasingly ""pulls"" in a particular direction — earlier statements, tonality, and thematic emphases influence all subsequent responses. The",Contextual Gravity,"Die Beobachtung, dass eine KI-Sitzung mit zunehmendem Kontext immer stärker in eine bestimmte Richtung ""zieht"" — frühere Aussagen, Tonalität und thematische Schwerpunkte beeinflussen alle folgenden An",Q66836282,Contextual Gravity,Q1860
,Semantic Spark,The moment an AI response triggers an unexpected but valuable idea in the user — not because the response itself contains the solution but because it serves as a catalyst for the user's own thought. T,Semantic Spark,"Der Moment, in dem eine KI-Antwort eine unerwartete, aber wertvolle Idee beim Nutzer auslöst — nicht weil die Antwort selbst die Lösung enthält, sondern weil sie als Katalysator für einen eigenen Geda",Q66836282,Semantic Spark,Q1860
,Focus Range,The individual time span during which a user can remain maximally focused and productive in AI-assisted work before attention diminishes. The Focus Range varies from person to person and tends to be s,Focus Range,"Die individuelle Zeitspanne, in der ein Nutzer in KI-gestützter Arbeit maximal fokussiert und produktiv bleiben kann, bevor die Aufmerksamkeit nachlässt. Die Das Focus Range variiert von Person zu Per",Q66836282,Focus Range,Q1860
,Ebulliometric Sorting,"A prioritization method in which the user ranks AI-generated ideas by their ""boiling point"" — that is, by which ideas possess the strongest immediate relevance or highest urgency. The metaphor derives",Ebulliometric Sorting,"Eine Priorisierungsmethode, bei der Nutzer KI-generierte Ideen nach ihrem ""Siedepunkt"" ordnet — also danach, welche Ideen die stärkste unmittelbare Relevanz oder die höchste Dringlichkeit besitzen. Di",Q66836282,Ebulliometric Sorting,Q1860
,Thermo-Semantic Weighting,"An evaluation method in which AI-generated content is weighted by its ""semantic temperature"" — that is, by its degree of current relevance, novelty, and connectivity. ""Hot"" topics have high immediate ",Thermo-Semantic Weighting,"Ein Bewertungsverfahren, bei dem KI-generierte Inhalte nach ihrer ""semantischen Temperatur"" gewichtet werden — also nach dem Grad ihrer aktuellen Relevanz, Neuheit und Anschlussfähigkeit. ""Heiße"" Them",Q66836282,Thermo-Semantic Weighting,Q1860
,Epistemic Half-Life,"The observable time span during which confidence in a particular piece of AI-generated information diminishes — comparable to the half-life of radioactive materials. The faster a field develops, the s",Epistemic Half-Life,"Die beobachtbare Zeitspanne, in der das Vertrauen in eine bestimmte KI-generierte Information abnimmt — vergleichbar mit der Halbwertszeit radioaktiver Stoffe. Je schneller sich ein Fachgebiet entwick",Q66836282,Epistemic Half-Life,Q1860
,Transient Validity,"The property of AI-generated information being valid only within a specific time window. What is a correct AI response today may be outdated tomorrow — due to new data, updated models, or changed fact",Transient Validity,"Die Eigenschaft von KI-generierten Informationen, nur innerhalb eines bestimmten Zeitfensters gültig zu sein. Was heute eine korrekte KI-Antwort ist, kann morgen veraltet sein — durch neue Daten, aktu",Q66836282,Transient Validity,Q1860
,Liquid Facticity,"The phenomenon that facts in AI-assisted work increasingly assume a fluid character — they are no longer static and final but context-reliant, model-reliant, and time-bound. Describes a fundamental ep",Liquid Facticity,"Das Phänomen, dass Fakten in der KI-gestützten Arbeit einen zunehmend fließenden Charakter annehmen — sie sind nicht mehr statisch und endgültig, sondern kontextabhängig, modellabhängig und zeitgebund",Q66836282,Liquid Facticity,Q1860
,Data Stoicism,The conscious attitude of processing AI-generated information surplus not with emotion but with calm analysis. The Data Stoic is neither euphoric about impressive outputs nor tension by erroneous resu,Data Stoicism,"Die bewusste Haltung, KI-generierten Informationsüberschuss nicht impulsiv, sondern gelassen-analytisch zu verarbeiten. Der Data Stoic lässt sich weder von beeindruckenden Outputs euphorisieren noch v",Q66836282,Data Stoicism,Q1860
,Kinetic Truth Blur,"The effect whereby the perceived boundary between ""true"" and ""plausible"" shifts when AI responses follow in rapid succession. During fast interaction, the user's ability to distinguish between verifie",Kinetic Truth Blur,"Der Effekt, dass sich die wahrgenommene Grenze zwischen ""wahr"" und ""plausibel"" verschiebt, wenn KI-Antworten in hoher Geschwindigkeit aufeinanderfolgen. Bei schneller Interaktion sinkt die Fähigkeit d",Q66836282,Kinetic Truth Blur,Q1860
,Perspective Triangulation,"The systematic method of having a problem or question illuminated from at least three different angles through AI — e.g., through different roles, disciplinary perspectives, or lines of argumentation.",Perspective Triangulation,"Die systematische Methode, ein Problem oder eine Fragestellung aus mindestens drei verschiedenen Blickwinkeln durch KI beleuchten zu lassen — z.B. durch unterschiedliche Rollen, Fachperspektiven oder ",Q66836282,Perspective Triangulation,Q1860
,The Scatter Spark,The phenomenon whereby seemingly randomly scattered AI outputs — including those not directly matching the query — trigger unexpected associations and idea connections in the user. Describes the creat,Scatter Spark,"Das Phänomen, dass scheinbar zufällig gestreute KI-Outputs — auch solche, die nicht direkt zur Anfrage passen — unerwartete Assoziationen und Ideenverbindungen beim Nutzer auslösen. Beschreibt den kre",Q66836282,The Scatter Spark,Q1860
,The Immersion Entry,"The transitional moment when a user shifts from ordinary work into a state of deep, concentrated AI-assisted work — comparable to entering a flow state. Described by Taxonomy Dimension 6 (Time Percept",Immersion Entry,"Was dieses Konzept in der Mensch-KI-Forschung erfasst, ist eine Dynamik, die sich zwischen Mensch und System aufbaut: Nicht die einzelne Antwort zählt, sondern das kumulative Muster aus vielen Interak",Q66836282,The Immersion Entry,Q1860
,Just-in-Time Competence,"The ability to become ad hoc capable in a domain through instant AI-assisted knowledge access, without having studied that domain long-term. Describes a new competence model of the AI era: knowledge n",Just-in-Time Competence,"Die Fähigkeit, durch sofortigen KI-gestützten Wissenszugang in einem Fachgebiet ad hoc handlungsfähig zu werden, ohne dieses Gebiet langfristig erlernt zu haben. Beschreibt ein neues Kompetenzmodell d",Q66836282,Just-in-Time Competence,Q1860
,Unlearning Protocol,The conscious process of unlearning established AI usage patterns when they have indicated by evidence unproductive or limiting. Describes the necessity of not only learning new methods but actively d,Unlearning Protocol,"Der bewusste Prozess, eingeübte KI-Nutzungsmuster zu verlernen, wenn sie sich als unproduktiv oder einschränkend erwiesen haben. Beschreibt die Notwendigkeit, nicht nur neue Methoden zu erlernen, sond",Q66836282,Unlearning Protocol,Q1860
,Indexical Memory,The shift of the memory function from content knowledge to knowledge about storage location. The user no longer remembers the information itself but where and how to retrieve it via AI. Describes a fu,Indexical Gedaechtnis,"Die Verlagerung der Erinnerungsfunktion vom inhaltlichen Wissen hin zum Wissen über den Speicherort. Der Nutzer merkt sich nicht mehr die Information selbst, sondern wo und wie er sie über KI abrufen ",Q66836282,Indexical Memory,Q1860
,The Felt Echo,"The aftereffect of an intensive AI session that the user still perceives after ending the interaction — an altered thinking rhythm, a different perspective on a problem, or a residual sense of collabo",Felt Echo,"Die Nachwirkung einer intensiven KI-Sitzung, die der Nutzer auch nach dem Beenden der Interaktion noch spürt — ein veränderter Denkrhythmus, eine andere Perspektive auf ein Problem oder ein Restgefühl",Q66836282,The Felt Echo,Q1860
,The Echo Courage,"The phenomenon that a user, after a confirming AI interaction, gains more confidence to defend an idea before other people. The AI serves as an initial sounding board: if the idea holds there, the use",Echo Courage,"Das Phänomen, dass ein Nutzer nach einer bestätigenden KI-Interaktion mehr Zuversicht hat, eine Idee auch gegenüber anderen Menschen zu vertreten. Die KI dient als erster Resonanzraum: Wenn die Idee d",Q66836282,The Echo Courage,Q1860
,Chronometric Gap,"The measurable discrepancy between subjectively perceived and actually elapsed time during an AI session. Users regularly report that AI sessions ""fly by"" — one hour feels like twenty minutes. Describ",Chronometric Lücke,"Die messbare Diskrepanz zwischen der subjektiv wahrgenommenen und der tatsächlich verstrichenen Zeit während einer KI-Sitzung. Nutzer berichten regelmäßig, dass KI-Sitzungen ""wie im Flug vergehen"" — e",Q66836282,Chronometric Gap,Q1860
,Cross-Referential Validation,"The method of validating an AI output by cross-checking it against external sources, other AI systems, or one's own domain knowledge. Describes the concrete verification process derived from Axiom 17 ",Kreuz-Referential Validation,"Die Methode, einen KI-Output durch Gegenprüfung mit externen Quellen, anderen KI-Systemen oder dem eigenen Fachwissen zu validieren. Beschreibt den konkreten Prüfvorgang, der aus Axiom 17 (Quellendisz",Q66836282,Cross-Referential Validation,Q1860
,The Reality Check,"The conscious moment when a user interrupts AI-assisted work and measures the result against physical, social, or professional reality outside the AI system. Describes the bridge between digital outpu",Reality Check,"Der bewusste Moment, in dem ein Nutzer die KI-gestützte Arbeit unterbricht und das Ergebnis an der physischen, sozialen oder fachlichen Realität außerhalb des KI-Systems misst. Beschreibt die Brücke z",Q66836282,The Reality Check,Q1860
